Alternatives,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
A1,0.695906432748538,0.4,0.9995042141794744,0.5833333333333334,0.25,0.125,0.125,0.5416666666666666,0.0004959087527894868,1.0,0.6666666666666666,0.9721265781275619
A2,0.8023391812865497,0.6666666666666667,0.9995042141794744,0.4166666666666667,0.5,0.25,0.1875,0.5416666666666666,0.001239771881973717,1.0,0.6666666666666666,0.9590096737170027
A3,0.8058479532163743,0.6666666666666667,0.999008428358949,0.4166666666666667,0.0625,0.25,0.1875,0.5416666666666666,0.003223406893131664,1.0,0.6666666666666666,0.9622888998196426
A4,0.8538011695906433,0.7333333333333334,0.9995042141794744,0.4166666666666667,0.0625,0.0625,0.0625,0.3333333333333333,0.001239771881973717,1.0,0.6666666666666666,0.9819642564354812
A5,0.5871345029239766,0.19999999999999996,0.999008428358949,0.6666666666666666,0.5,0.25,0.125,0.20833333333333334,0.0004959087527894868,1.0,0.6666666666666666,0.9426135432038039
A6,0.8245614035087719,0.6666666666666667,0.999008428358949,0.4166666666666667,0.5,0.25,0.1875,0.875,0.001983635011157947,1.0,1.0,0.9639285128709625
A7,0.368421052631579,0.9333333333333333,0.999008428358949,0.8333333333333334,0.5,0.125,0.125,0.20833333333333334,0.0004959087527894868,1.0,0.6666666666666666,0.9590096737170027
A8,0.40584795321637424,0.19999999999999996,0.9985126425384234,0.8333333333333334,0.5,0.125,0.0625,0.20833333333333334,0.0004959087527894868,1.0,0.6666666666666666,0.9688473520249221
A9,0.40584795321637424,0.19999999999999996,0.9985126425384234,0.8333333333333334,0.5,0.25,0.125,0.20833333333333334,0.0004959087527894868,1.0,0.6666666666666666,0.9622888998196426
A10,0.8713450292397661,0.8,0.999008428358949,0.4166666666666667,0.0625,0.0625,0.0625,0.5416666666666666,0.001239771881973717,1.0,0.6666666666666666,0.9672077389736022
A11,0.8619883040935672,0.7333333333333334,0.999008428358949,0.4166666666666667,0.0625,0.0625,0.0625,0.3333333333333333,0.0004959087527894868,1.0,0.6666666666666666,0.9786850303328415
A12,0.8596491228070176,0.7333333333333334,0.999008428358949,0.3333333333333333,0.0625,0.0625,0.0625,0.20833333333333334,0.0004959087527894868,1.0,0.6666666666666666,0.985243482538121
A13,0.8608187134502924,0.7333333333333334,0.999008428358949,0.3333333333333333,0.0625,0.03125,0.03125,0.20833333333333334,0.0004959087527894868,1.0,0.6666666666666666,0.9868830955894409
A14,0.8304093567251463,0.2666666666666667,0.999008428358949,0.3333333333333333,0.0625,0.0625,0.0625,0.20833333333333334,0.0004959087527894868,1.0,0.6666666666666666,0.9786850303328415
A15,0.8643274853801169,0.4,0.9985126425384234,0.4166666666666667,0.0625,0.125,0.125,0.5416666666666666,0.001239771881973717,1.0,0.6666666666666666,0.9672077389736022
A16,0.8245614035087719,0.6666666666666667,0.9985126425384234,0.4166666666666667,0.0625,0.03125,0.0625,0.3333333333333333,0.0004959087527894868,1.0,0.6666666666666666,0.9754058042302016
A17,0.808187134502924,0.6666666666666667,0.9985126425384234,0.4166666666666667,0.0625,0.125,0.125,0.5416666666666666,0.0004959087527894868,1.0,0.6666666666666666,0.9573700606656829
A18,0.8713450292397661,0.8,0.9985126425384234,0.4166666666666667,0.0625,0.0625,0.0625,0.5416666666666666,0.0004959087527894868,1.0,0.6666666666666666,0.970486965076242
A19,0.8187134502923976,0.6666666666666667,0.9985126425384234,0.4166666666666667,0.0625,0.125,0.125,0.3333333333333333,0.0004959087527894868,1.0,0.6666666666666666,0.9672077389736022
A20,0.8187134502923976,0.6666666666666667,0.9985126425384234,0.4166666666666667,0.0625,0.03125,0.0625,0.3333333333333333,0.0004959087527894868,1.0,0.6666666666666666,0.9672077389736022
