Alternatives,$COMET_{rank}$,$COCOSO_{rank}$,$EDAS_{rank}$,$MAIRCA_{rank}$,$MABAC_{rank}$
1.0,407.0,358.0,470.0,393.0,393.0
2.0,145.0,129.0,59.0,143.0,143.0
3.0,449.0,494.0,359.0,428.0,428.0
4.0,446.0,550.0,598.0,472.0,472.0
5.0,560.0,455.0,883.0,552.0,552.0
6.0,13.0,13.0,11.0,13.0,13.0
7.0,228.0,256.0,788.0,258.0,258.0
8.0,660.0,540.0,967.0,658.0,658.0
9.0,621.0,503.0,947.0,599.0,599.0
10.0,402.0,504.0,533.0,405.0,405.0
11.0,529.0,599.0,621.0,532.0,532.0
12.0,628.0,737.0,810.0,648.0,648.0
13.0,639.0,878.0,876.0,661.0,661.0
14.0,918.0,879.0,955.0,907.0,907.0
15.0,691.0,662.0,607.0,639.0,639.0
16.0,671.0,740.0,690.0,681.0,681.0
17.0,555.0,588.0,463.0,537.0,537.0
18.0,473.0,555.0,546.0,475.0,475.0
19.0,644.0,675.0,514.0,630.0,630.0
20.0,684.0,745.0,699.0,686.0,686.0
21.0,927.0,864.0,972.0,911.0,911.0
22.0,997.0,952.0,1008.0,1003.0,1003.0
23.0,694.0,543.0,547.0,676.0,676.0
24.0,837.0,822.0,724.0,835.0,835.0
25.0,901.0,877.0,831.0,910.0,910.0
26.0,995.0,1002.0,1036.0,993.0,993.0
27.0,976.0,988.0,1016.0,976.0,976.0
28.0,1019.0,987.0,1037.0,1019.0,1019.0
29.0,1023.0,1017.0,898.0,1022.0,1022.0
30.0,1008.0,982.0,1023.0,1006.0,1006.0
31.0,1022.0,989.0,995.0,1023.0,1023.0
32.0,996.0,953.0,975.0,996.0,996.0
33.0,162.0,170.0,149.0,173.0,173.0
34.0,259.0,261.0,261.0,269.0,269.0
35.0,197.0,207.0,135.0,207.0,207.0
36.0,508.0,579.0,614.0,524.0,524.0
37.0,163.0,169.0,142.0,170.0,170.0
38.0,751.0,787.0,960.0,759.0,759.0
39.0,54.0,249.0,214.0,70.0,70.0
40.0,75.0,74.0,58.0,83.0,83.0
41.0,112.0,132.0,88.0,128.0,128.0
42.0,391.0,363.0,473.0,392.0,392.0
43.0,386.0,366.0,474.0,396.0,396.0
44.0,647.0,716.0,755.0,655.0,655.0
45.0,794.0,766.0,801.0,778.0,778.0
46.0,196.0,206.0,130.0,206.0,206.0
47.0,470.0,515.0,420.0,459.0,459.0
48.0,198.0,205.0,89.0,208.0,208.0
49.0,199.0,246.0,330.0,217.0,217.0
50.0,889.0,854.0,1009.0,885.0,885.0
51.0,898.0,859.0,980.0,902.0,902.0
52.0,868.0,837.0,950.0,870.0,870.0
53.0,554.0,572.0,499.0,531.0,531.0
54.0,723.5,760.5,688.5,733.5,733.5
55.0,601.5,835.5,656.5,602.5,602.5
56.0,603.5,671.5,628.5,600.5,600.5
57.0,877.5,846.5,917.5,875.5,875.5
58.0,737.5,785.5,751.5,751.5,751.5
59.0,729.5,842.5,1.5,618.5,618.5
60.0,629.5,652.5,570.5,616.5,616.5
61.0,711.5,880.5,764.5,709.5,709.5
62.0,581.5,620.5,542.5,567.5,567.5
63.0,709.5,771.5,760.5,711.5,711.5
64.0,707.5,869.5,749.5,715.5,715.5
65.0,36.5,36.5,22.5,40.5,40.5
66.0,131.5,89.5,270.5,96.5,96.5
67.0,55.5,20.5,225.5,22.5,22.5
68.0,239.5,405.5,268.5,278.5,278.5
69.0,176.5,179.5,96.5,184.5,184.5
70.0,180.5,197.5,108.5,190.5,190.5
71.0,290.5,304.5,300.5,304.5,304.5
72.0,364.5,480.5,304.5,390.5,390.5
73.0,368.5,507.5,326.5,408.5,408.5
74.0,348.5,344.5,331.5,366.5,366.5
75.0,392.5,364.5,374.5,403.5,403.5
76.0,278.5,278.5,272.5,294.5,294.5
77.0,362.5,346.5,345.5,372.5,372.5
78.0,480.5,397.5,333.5,464.5,464.5
79.0,692.5,748.5,745.5,699.5,699.5
80.0,426.5,501.5,429.5,422.5,422.5
81.0,571.5,656.5,702.5,587.5,587.5
82.0,40.5,26.5,166.5,24.5,24.5
83.0,663.5,721.5,652.5,662.5,662.5
84.0,661.5,714.5,650.5,656.5,656.5
85.0,665.5,725.5,648.5,666.5,666.5
86.0,595.5,686.5,684.5,597.5,597.5
87.0,648.5,650.5,578.5,624.5,624.5
88.0,981.5,938.5,1010.5,981.5,981.5
89.0,685.5,865.5,780.5,691.5,691.5
