Alternatives,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
KP110,202,7,2015,5,64,8192,2048,13,5,4,2,170
C3-01 Gold Edition,150,5,2014,5,32,4096,1024,8,2,4,2,180
7380,160,5,2016,5,256,32768,3072,16,8,4,1,420
W180,170,6,2016,5,32,16384,2048,8,8,4,2,110
Aquaris M4.5,115,6,2015,4,64,8192,1024,8,5,4,2,180
Zenfone 3 Deluxe 5.5 ZS550KL,151,5,2016,5,256,65536,4096,16,8,4,2,440
M600,310,10,2017,8,256,16384,2048,5,2,4,2,100
Liquid Z410,145,11,2015,4,32,8192,1024,5,2,4,2,130
Liquid Jade Z,110,3,2015,5,32,8192,1024,13,5,4,2,200
nova plus,160,5,2016,5,256,32768,3072,16,8,4,1,420
X3-02 Touch and Type,130,4,2013,4,64,8192,1024,8,1,4,2,290
Zenfone 2 ZE551ML,170,6,2015,5,256,16384,2048,13,5,4,2,370
1110i,143,4,2017,5,256,16384,2048,13,5,4,2,150
P5 Qmax,176,6,2013,5,32,4096,1024,8,1,4,2,230
Fonepad 8 FE380CG,328,11,2014,8,64,8192,1024,5,2,4,2,200
XDA Atom Exec,132,4,2012,4,32,8192,1024,8,1,3,2,210
Idol 4,135,4,2016,5,256,16384,2048,13,8,4,2,250
Rezound,170,6,2011,4,32,16384,1024,8,2,3,2,160
V295,150,5,2014,5,32,8192,1024,13,5,4,2,190
Honor 6A,143,4,2017,5,256,16384,2048,13,5,4,2,150
