Alternatives,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
A1,0.38414634146341464,0.36363636363636365,0.999008428358949,0.625,0.25,0.125,0.5,0.8125,0.625,1.0,1.0,0.6136363636363636
A2,0.5426829268292683,0.5454545454545454,0.9985126425384234,0.625,0.125,0.0625,0.25,0.5,0.25,1.0,1.0,0.5909090909090908
A3,0.5121951219512195,0.5454545454545454,0.9995042141794744,0.625,1.0,0.5,0.75,1.0,1.0,1.0,0.5,0.045454545454545414
A4,0.4817073170731707,0.4545454545454546,0.9995042141794744,0.625,0.125,0.25,0.5,0.5,1.0,1.0,1.0,0.75
A5,0.649390243902439,0.4545454545454546,0.999008428358949,0.5,0.25,0.125,0.25,0.5,0.625,1.0,1.0,0.5909090909090908
A6,0.5396341463414633,0.5454545454545454,0.9995042141794744,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
A7,0.054878048780487854,0.09090909090909094,1.0,1.0,1.0,0.25,0.5,0.3125,0.25,1.0,1.0,0.7727272727272727
A8,0.5579268292682926,0.0,0.999008428358949,0.5,0.125,0.125,0.25,0.3125,0.25,1.0,1.0,0.7045454545454546
A9,0.6646341463414633,0.7272727272727273,0.999008428358949,0.625,0.125,0.125,0.25,0.8125,0.625,1.0,1.0,0.5454545454545454
A10,0.5121951219512195,0.5454545454545454,0.9995042141794744,0.625,1.0,0.5,0.75,1.0,1.0,1.0,0.5,0.045454545454545414
A11,0.6036585365853658,0.6363636363636364,0.9980168567178979,0.5,0.25,0.125,0.25,0.5,0.125,1.0,1.0,0.34090909090909094
A12,0.4817073170731707,0.4545454545454546,0.999008428358949,0.625,1.0,0.25,0.5,0.8125,0.625,1.0,1.0,0.15909090909090906
A13,0.5640243902439024,0.6363636363636364,1.0,0.625,1.0,0.25,0.5,0.8125,0.625,1.0,1.0,0.6590909090909092
A14,0.46341463414634143,0.4545454545454546,0.9980168567178979,0.625,0.125,0.0625,0.25,0.5,0.125,1.0,1.0,0.4772727272727273
A15,0.0,0.0,0.9985126425384234,1.0,0.25,0.125,0.25,0.3125,0.25,1.0,1.0,0.5454545454545454
A16,0.5975609756097561,0.6363636363636364,0.9975210708973723,0.5,0.125,0.125,0.25,0.5,0.125,0.75,1.0,0.5227272727272727
A17,0.5884146341463414,0.6363636363636364,0.9995042141794744,0.625,1.0,0.25,0.5,0.8125,1.0,1.0,1.0,0.43181818181818177
A18,0.4817073170731707,0.4545454545454546,0.9970252850768468,0.5,0.125,0.25,0.25,0.5,0.25,0.75,1.0,0.6363636363636364
A19,0.5426829268292683,0.5454545454545454,0.9985126425384234,0.625,0.125,0.125,0.25,0.8125,0.625,1.0,1.0,0.5681818181818181
A20,0.5640243902439024,0.6363636363636364,1.0,0.625,1.0,0.25,0.5,0.8125,0.625,1.0,1.0,0.6590909090909092
